Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
10000        | Not found    | Not found    | Array        | 0,012200             | 0,000100 ms          | 1,017900 ms          | 1,017800 ms         Binært søk 122,00 ganger raskere. Med sortering: Lineært søk 83,43 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,019200             | 0,000200 ms          | 1,075700 ms          | 1,075500 ms         Binært søk 96,00 ganger raskere. Med sortering: Lineært søk 56,03 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,017700             | 0,000100 ms          | 1,393800 ms          | 1,393700 ms         Binært søk 177,00 ganger raskere. Med sortering: Lineært søk 78,75 ganger raskere.
100000       | 10027        | 21409        | Array        | 0,012700             | 0,000300 ms          | 12,786900 ms         | 12,786600 ms        Binært søk 42,33 ganger raskere. Med sortering: Lineært søk 1006,84 ganger raskere.
100000       | 14221        | 68188        | Array        | 0,022300             | 0,000300 ms          | 15,582100 ms         | 15,581800 ms        Binært søk 74,33 ganger raskere. Med sortering: Lineært søk 698,75 ganger raskere.
100000       | 37741        | 3157         | Array        | 0,046500             | 0,000200 ms          | 15,433600 ms         | 15,433400 ms        Binært søk 232,50 ganger raskere. Med sortering: Lineært søk 331,91 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,120800             | 0,000200 ms          | 16,725200 ms         | 16,725000 ms        Binært søk 604,00 ganger raskere. Med sortering: Lineært søk 138,45 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,221200             | 0,000200 ms          | 15,633200 ms         | 15,633000 ms        Binært søk 1106,00 ganger raskere. Med sortering: Lineært søk 70,67 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,120700             | 0,000200 ms          | 18,632800 ms         | 18,632600 ms        Binært søk 603,50 ganger raskere. Med sortering: Lineært søk 154,37 ganger raskere.
1000         | 1            | 846          | Array        | 0,016400             | 0,009000 ms          | 0,123000 ms          | 0,114000 ms         Binært søk 1,82 ganger raskere. Med sortering: Lineært søk 7,50 ganger raskere.
1000         | 493          | 338          | Array        | 0,000800             | 0,000100 ms          | 0,143600 ms          | 0,143500 ms         Binært søk 8,00 ganger raskere. Med sortering: Lineært søk 179,50 ganger raskere.
1000         | 823          | 317          | Array        | 0,001200             | 0,000200 ms          | 0,117600 ms          | 0,117400 ms         Binært søk 6,00 ganger raskere. Med sortering: Lineært søk 98,00 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,001500             | 0,000100 ms          | 0,110400 ms          | 0,110300 ms         Binært søk 15,00 ganger raskere. Med sortering: Lineært søk 73,60 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,001500             | 0,000100 ms          | 0,127100 ms          | 0,127000 ms         Binært søk 15,00 ganger raskere. Med sortering: Lineært søk 84,73 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,002800             | 0,000200 ms          | 0,149200 ms          | 0,149000 ms         Binært søk 14,00 ganger raskere. Med sortering: Lineært søk 53,29 ganger raskere.
10000        | 364          | 3614         | Array        | 0,000900             | 0,000200 ms          | 1,371700 ms          | 1,371500 ms         Binært søk 4,50 ganger raskere. Med sortering: Lineært søk 1524,11 ganger raskere.
10000        | 815          | 6795         | Array        | 0,001400             | 0,000300 ms          | 1,463200 ms          | 1,462900 ms         Binært søk 4,67 ganger raskere. Med sortering: Lineært søk 1045,14 ganger raskere.
10000        | 6131         | 7672         | Array        | 0,008400             | 0,000200 ms          | 1,515100 ms          | 1,514900 ms         Binært søk 42,00 ganger raskere. Med sortering: Lineært søk 180,37 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,013400             | 0,000100 ms          | 1,121500 ms          | 1,121400 ms         Binært søk 134,00 ganger raskere. Med sortering: Lineært søk 83,69 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,013500             | 0,000200 ms          | 1,114400 ms          | 1,114200 ms         Binært søk 67,50 ganger raskere. Med sortering: Lineært søk 82,55 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,013900             | 0,000100 ms          | 1,120500 ms          | 1,120400 ms         Binært søk 139,00 ganger raskere. Med sortering: Lineært søk 80,61 ganger raskere.
100000       | 60148        | 16600        | Array        | 0,081600             | 0,001000 ms          | 13,765200 ms         | 13,764200 ms        Binært søk 81,60 ganger raskere. Med sortering: Lineært søk 168,69 ganger raskere.
100000       | 308          | 18510        | Array        | 0,000600             | 0,000300 ms          | 17,384100 ms         | 17,383800 ms        Binært søk 2,00 ganger raskere. Med sortering: Lineært søk 28973,50 ganger raskere.
100000       | 55170        | 25837        | Array        | 0,075500             | 0,000400 ms          | 17,201100 ms         | 17,200700 ms        Binært søk 188,75 ganger raskere. Med sortering: Lineært søk 227,83 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,137200             | 0,000200 ms          | 18,192400 ms         | 18,192200 ms        Binært søk 686,00 ganger raskere. Med sortering: Lineært søk 132,60 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,135400             | 0,000200 ms          | 16,696600 ms         | 16,696400 ms        Binært søk 677,00 ganger raskere. Med sortering: Lineært søk 123,31 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,136000             | 0,000200 ms          | 20,575700 ms         | 20,575500 ms        Binært søk 680,00 ganger raskere. Med sortering: Lineært søk 151,29 ganger raskere.
1000000      | 901575       | 14878        | Array        | 1,301100             | 0,000400 ms          | 164,243500 ms        | 164,243100 ms       Binært søk 3252,75 ganger raskere. Med sortering: Lineært søk 126,23 ganger raskere.
1000000      | 492394       | 857257       | Array        | 0,603000             | 0,000500 ms          | 180,162300 ms        | 180,161800 ms       Binært søk 1206,00 ganger raskere. Med sortering: Lineært søk 298,78 ganger raskere.
1000000      | 817907       | 379366       | Array        | 1,373800             | 0,000600 ms          | 165,049500 ms        | 165,048900 ms       Binært søk 2289,67 ganger raskere. Med sortering: Lineært søk 120,14 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,945900             | 0,000200 ms          | 166,458200 ms        | 166,458000 ms       Binært søk 9729,50 ganger raskere. Med sortering: Lineært søk 85,54 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,260100             | 0,000200 ms          | 185,726400 ms        | 185,726200 ms       Binært søk 6300,50 ganger raskere. Med sortering: Lineært søk 147,39 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,231000             | 0,000300 ms          | 178,957100 ms        | 178,956800 ms       Binært søk 4103,33 ganger raskere. Med sortering: Lineært søk 145,38 ganger raskere.
10000000     | 1644986      | 2483241      | Array        | 2,025000             | 0,001500 ms          | 1815,592600 ms       | 1815,591100 ms      Binært søk 1350,00 ganger raskere. Med sortering: Lineært søk 896,59 ganger raskere.
